Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8492063492063492,0.8537803138373752,0.8376487053883834,0.8456375838926175,0.9107003093081606
SVM,0.979296066252588,0.9730476848652384,0.9853044086773968,0.9791376912378303,0.9988862429086115
KNN,0.9761904761904762,0.9619565217391305,0.9909027291812457,0.9762150982419855,0.9932155139026705
Random Forest,0.9996549344375432,1.0,0.9993002099370188,0.999649982499125,1.0
XGBoost,0.9996549344375432,1.0,0.9993002099370188,0.999649982499125,0.9995779346522795
LightGBM,0.9996549344375432,0.9993006993006993,1.0,0.9996502273522211,0.9999976181413787
