Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.761860751694393,0.8477905073649754,0.6383240911891559,0.7282952548330405,0.8788366097484217
SVM,0.8461182994454713,0.7646643109540636,1.0,0.8666399679615538,0.9762309476870724
KNN,0.9152803450400493,0.8560486001056524,0.9984596426370919,0.9217861205915814,0.9593328572746437
Random Forest,0.7934380776340111,0.7076520601700458,1.0,0.8288012255840674,0.9221881787110654
XGBoost,0.7945163277880468,0.7087336244541484,1.0,0.829542550472783,0.8584278712242264
LightGBM,0.7954405422057917,0.7096633143856581,1.0,0.8301790281329924,0.9037400503164423
