Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
KNN,0.8151571164510166,0.7393542349087506,0.973505853357979,0.8404255319148937,0.9241536766042969
RandomForest,0.9570240295748613,0.9237360754070265,0.9963031423290203,0.9586482881280569,0.9629994867373617
XGBoost,0.9591805298829328,0.9276901004304161,0.9959950708564387,0.9606299212598425,0.9613452397357912
LightGBM,0.957332101047443,0.9245067200457535,0.9959950708564387,0.9589203618567403,0.9555114328113772
MLP,0.959026494146642,0.9271788990825688,0.9963031423290203,0.9604989604989606,0.9729797781353912
EnsembleModel,0.9570240295748613,0.9237360754070265,0.9963031423290203,0.9586482881280569,0.9636817331269653
